,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
1,0.039503461,0.057949069,0.098650234,0.127806785,0.164678819,0.211590581,0.262461819,0.312008663,0.357783216,0.399215808,0.436663662,0.470862745,0.502627548,0.532690002
2,0.013273168,0.063124603,0.035943925,0.028440058,0.086065202,0.116429632,0.119722405,0.103214167,0.073829944,0.036727515,0.004386411,0.046850274,0.088787413,0.128933779
3,0.031020798,0.095971103,0.046587944,0.046147611,0.128979729,0.175364749,0.184728268,0.166007168,0.128245479,0.078502611,0.021982761,0.037572865,0.097557794,0.156232292
4,0.12989116,0.110780283,0.083211043,0.046957912,0.005862051,0.073222244,0.147142422,0.220476177,0.288868752,0.35044166,0.405034353,0.453472961,0.496997175,0.53688105
5,0.00161749,0.047064671,0.004184318,0.08843426,0.162702451,0.205859448,0.216888644,0.202448161,0.169702976,0.124566059,0.071636327,0.014395154,0.044595569,0.103509806
6,0.089871979,0.096416149,0.221715688,0.383308722,0.530783473,0.639579513,0.708206183,0.74491278,0.758977496,0.758110167,0.748185799,0.733481492,0.716971781,0.700608588
7,0.032229946,0.016167029,0.057477721,0.175591964,0.280270149,0.343810571,0.367489751,0.362592967,0.339611634,0.30596942,0.266453552,0.223992275,0.180294913,0.136316342
8,0.087614907,0.063704351,0.033337923,0.003363685,0.056524876,0.1248748,0.199458126,0.272528513,0.339899954,0.400095984,0.453246974,0.500289865,0.542440072,0.580875471
9,0.067796594,0.106281517,0.138357082,0.16294915,0.164123688,0.138731307,0.094989911,0.042303758,0.012849553,0.066915987,0.118359102,0.166829978,0.212568823,0.256025422
10,0.09464499,0.048974097,0.002723801,0.04376251,0.095458301,0.149179422,0.198790312,0.240413656,0.27265185,0.295641895,0.310396988,0.318368073,0.321123262,0.320134503
11,0.102295175,0.091525074,0.08139985,0.066534796,0.035545977,0.010207886,0.061503598,0.110456341,0.152917454,0.187608876,0.21498085,0.236359999,0.253370034,0.26757356
12,0.127296637,0.087149082,0.032604247,0.033599598,0.117161205,0.213654411,0.313904937,0.410932646,0.500935946,0.582365974,0.655103331,0.719860311,0.77773396,0.829897152
13,0.153026922,0.125567339,0.112729353,0.088385989,0.039813864,0.028683272,0.105280427,0.180302333,0.248189782,0.306592219,0.355306825,0.39541735,0.428618011,0.456730388
14,0.186122872,0.160267472,0.154830451,0.155653778,0.157101695,0.169858752,0.226166122,0.321701751,0.434716696,0.551110012,0.663701584,0.7691865,0.866389175,0.955260053
15,0.13412053,0.068564137,0.039754951,0.016394471,0.01660954,0.057528277,0.097171948,0.12811155,0.14641866,0.150855214,0.142031259,0.121719968,0.09228007,0.05621329
